bigram	frequency
social enclaves	2
appropriate safeguards	2
report impact	2
equal rights	2
coverage rate	2
systems account	2
gender participation	2
will steer	2
financial rules	2
monthly household	2
improved cook	2
promoting community	2
marketing agricultural	2
dolisie road	2
pasture lands	2
adb interest	2
comprise members	2
ii piu	2
skills across	2
krishi sinchayee	2
extending funding	2
report showing	2
ban sf	2
livelihoods due	2
sustainably managing	2
seasoned chartered	2
use pesticide	2
service structures	2
full economic	2
greater climate	2
procedures based	2
still required	2
inform research	2
impacts like	2
disposiciones en	2
fiscal envelope	2
subsector policies	2
nine pillars	2
facility ppip	2
entre le	2
incipient market	2
actual st	2
main pathways	2
guidance guidelines	2
along lateral	2
roads improvements	2
subsidy will	2
washing facilities	2
marine information	2
improving climate	2
strengthening key	2
draft regulatory	2
least active	2
major driver	2
ensure capacity	2
presented within	2
ambitious plans	2
nut shelling	2
problems addressed	2
water boreholes	2
paysanne kanayo	2
import restrictions	2
funded mainly	2
level playing	2
leur permettre	2
exchange experiences	2
constraints within	2
fresh fruits	2
coaching activities	2
normal rainfall	2
yemen employment	2
support decentralized	2
technologies project	2
percent nationally	2
consulting assignments	2
area vat	2
valor competitivas	2
et selon	2
nippes watershed	2
rekha shreesh	2
lean season	2
natural heritage	2
avdp monitoring	2
republic shared	2
carbon projects	2
lowest productivity	2
limited participation	2
variations climatic	2
help small	2
key determining	2
scheme matching	2
tranche du	2
smaller domestic	2
great majority	2
funded credit	2
consultative village	2
maize yield	2
provincial bureaux	2
provisional documents	2
individual contracts	2
creating growth	2
sub sectoral	2
rga reports	2
testing kits	2
improved certified	2
ilap cilss	2
located near	2
products traded	2
developing solutions	2
groups mitigation	2
mardnr created	2
chef du	2
people seeking	2
staff appointed	2
recent ebola	2
principal country	2
participating commercial	2
additional impacts	2
groundwater levels	2
financing precis	2
installation contracts	2
km financed	2
negotiated settlement	2
state investment	2
rural fortalecen	2
indicators proposed	2
various threats	2
key agro	2
inadequate financial	2
long process	2
basket funding	2
small veterinary	2
budget cycle	2
farms volume	2
help rural	2
reporting based	2
state gdp	2
added created	2
sits astride	2
operation since	2
democratic country	2
dans ses	2
core design	2
incentives number	2
gender children	2
region latin	2
receipting system	2
wildlife sanctuary	2
contracts valued	2
time request	2
financing shall	2
nutrition officer	2
existing provincial	2
regional occupancy	2
senior executive	2
channels include	2
safeguards tracking	2
flood hazards	2
make gabon	2
incubation training	2
upgrading office	2
corrupt african	2
todo el	2
stico sanidad	2
organized along	2
lakki marwat	2
service availability	2
practices used	2
combating desertification	2
institutional organization	2
proposed sample	2
costs considered	2
crop commodities	2
promotion tool	2
improves efficiency	2
partners ua	2
certain vulnerable	2
identified gender	2
drainage works	2
implementation office	2
cumple al	2
build several	2
always favour	2
organisations considered	2
devastating impacts	2
stagnated since	2
specifically ensure	2
following agreements	2
business fund	2
also produce	2
sub total	2
sud project	2
specific crops	2
qualified entities	2
traders indicator	2
shinyanga rural	2
assumptions appear	2
traditional sector	2
strategic overview	2
grants targeted	2
basin councils	2
help target	2
hay rakes	2
several institutions	2
business confidence	2
project direct	2
limitaciones del	2
nonreimbursable contribution	2
training projects	2
table indicates	2
including field	2
monitoring meetings	2
level performance	2
identified weak	2
fragile soil	2
chain production	2
strengthening smallholder	2
coffee brand	2
planning policy	2
reform roadmap	2
sign performance	2
inra transparency	2
native languages	2
somalia project	2
youth sudan	2
finance feasibility	2
building agriculture	2
using fact	2
percent credit	2
use rationalization	2
renforcer le	2
cause loss	2
target end	2
economic outcomes	2
consistent quantities	2
currently looking	2
whose production	2
half year	2
concede en	2
consumer associations	2
dairy plants	2
middle chari	2
provides opportunity	2
threshing machine	2
integration support	2
generating conflict	2
addressing key	2
private economic	2
carbon pools	2
teams responsible	2
groupe de	2
national emissions	2
tompro accounting	2
guinea agricultural	2
neighboring major	2
recipient government	2
among partners	2
pfcu will	2
account uam	2
regional incubators	2
development fiduciary	2
design need	2
de distribution	2
using basic	2
reports bank	2
services pathway	2
dairy product	2
impact estimates	2
du rendement	2
therapeutic nutrition	2
con mayor	2
existing bank	2
largely beneficial	2
pilot will	2
losses estimated	2
also reports	2
sector resilience	2
nutrition specialist	2
concrete objectives	2
big fast	2
increase tourism	2
report qcbs	2
el significado	2
etoure worldbank	2
modernizing hydraulic	2
detailed consultations	2
promotes sustainable	2
ca shew	2
yields increase	2
programme functions	2
et renforcer	2
currently puts	2
idb component	2
capacidades institucionales	2
functions focus	2
livestock fattening	2
whose structures	2
young project	2
require close	2
undertake capacity	2
policy officer	2
infrastructures pastorales	2
provincial land	2
rural infrastructural	2
lenders insurers	2
theme two	2
legal provisions	2
post qualification	2
mechanism promoting	2
production accounting	2
covering environmental	2
enterprises capable	2
benefits attributed	2
punjab accounts	2
prepare preliminary	2
financial structure	2
closing december	2
growth capable	2
head works	2
distinct smallholder	2
research made	2
stubbornly high	2
removing exemptions	2
strengthen cross	2
portuguese cooperation	2
report increased	2
high fiscal	2
accessing financial	2
republic authorized	2
taat project	2
opposition parties	2
detailed mitigation	2
cubiertos por	2
optimise benefits	2
december issued	2
usaid trust	2
subsequently will	2
actual liquidity	2
currently negligible	2
garden crops	2
variable methodology	2
require restoration	2
absorption capacity	2
chemical oxygen	2
bank constitutes	2
investment credit	2
proposed hydropower	2
management difficulties	2
existing hydraulic	2
electricity company	2
presentar al	2
reconocer con	2
wood processing	2
sector research	2
target support	2
fibre optic	2
fostering sustainable	2
sensitive interventions	2
moins un	2
new trade	2
integrated action	2
material production	2
increase environmental	2
partnership support	2
nutrition will	2
financing expenditure	2
asia region	2
officer pecg	2
increased involvement	2
results evaluation	2
liters per	2
including installation	2
port sudan	2
financier et	2
estimates made	2
georeferenced data	2
indirect influence	2
operations without	2
producers training	2
engineering centre	2
financement agricole	2
supplier workers	2
town development	2
clients satisfied	2
bolivian agriculture	2
manufactured goods	2
resources remain	2
bank confirming	2
district assemblies	2
women traders	2
goksu taseli	2
enhance implementation	2
well irrigated	2
la mesure	2
existing warrantage	2
population increased	2
proficiency level	2
acceptable costs	2
smes adopting	2
close interaction	2
le comptable	2
plan covers	2
program adb	2
entities agric	2
et objectif	2
supervision par	2
two state	2
staff engaged	2
consultative frameworks	2
improved watershed	2
assessed individually	2
agricultural transf	2
quarantine parks	2
producing households	2
senior fragility	2
improve learning	2
lend impetus	2
undertake reforms	2
ghana commercial	2
warehouses built	2
miombo woodland	2
avoid negative	2
mostly indirect	2
harvesting methods	2
msme business	2
ils sont	2
improve linkages	2
program cash	2
agribusiness reforms	2
conducted days	2
contractual basis	2
national confederation	2
made every	2
road corridors	2
probatoire de	2
materials iii	2
selected taking	2
integrate women	2
beneficiary private	2
natural risks	2
proven expertise	2
poultry exports	2
infrastructure planned	2
national resources	2
youth promotion	2
forestry research	2
maria sarraf	2
implementation responsibility	2
country benin	2
balance will	2
competitive commercial	2
august ops	2
significant unmet	2
identification strategy	2
improve fiscal	2
raise incomes	2
thousand ua	2
products demanded	2
ida staff	2
country moldova	2
index gsse	2
portfolio flashlight	2
sector aas	2
related link	2
supplying water	2
local sector	2
mine rail	2
financial policy	2
consulting engineer	2
producing area	2
new enterprises	2
facing niger	2
rims baseline	2
fodder species	2
also available	2
chapter ii	2
across technologies	2
default rate	2
public accounts	2
consultations revealed	2
amortisation fund	2
demand based	2
order will	2
son thanh	2
target long	2
obtain higher	2
additional border	2
th november	2
including preparation	2
take responsibility	2
debilitating impacts	2
mitication measures	2
institutional provisions	2
increased capital	2
generation efforts	2
low product	2
activities involved	2
planning national	2
maria paulina	2
afdb green	2
include men	2
ecialist pm	2
impacts although	2
lost access	2
including social	2
collection rates	2
shall commence	2
cpf also	2
activity plan	2
unit staff	2
ghani razaak	2
accumulated vast	2
agency means	2
stakeholders establishment	2
reports ministry	2
small tanks	2
provincial nutrition	2
reduce human	2
positively impact	2
regional express	2
intraregional trade	2
expenditure circuit	2
gedaref state	2
also revealed	2
demanding higher	2
legal analysis	2
kwango districts	2
various ministries	2
vegetative cover	2
porteront sur	2
financing within	2
within key	2
moses duphey	2
administrative information	2
deteriorating financial	2
program pmdn	2
fund withdrawals	2
provide recommendation	2
bank ranjan	2
needs related	2
scenarios foresee	2
share specified	2
water provision	2
ongoing interventions	2
minimizing social	2
favorable por	2
capacities remain	2
organizaciones person	2
margin per	2
difundido por	2
edward mabaya	2
wuas established	2
durable materials	2
resilient solutions	2
organizational level	2
technology shall	2
although specific	2
representing smes	2
inclusive community	2
services tsf	2
benefit bt	2
specifically aims	2
integrated planning	2
transparente et	2
